BEA									
DEPARTEMENT FINANCE ET COMPTABILITE									
									
TABLEAU D'AMORTISSEMENT AAI									
		30/06/2026							
COMPTE N°: 142010  Compte Amort: 148211									
			Valeur		 AmtCumulés	Dotation	Montant Amt	Valeur Net	AGENCE 
Date 	Qté	Désignation	d'Acquisition MRU	Taux	 Fin Exr.2025	Exer. En. C	Fin Exercice 2026	Comptable	
12/06/23		REGUL ECRITURE REF 6824454	 14 950,00   	10%	 3 828,86   	 747,50   	 4 576,36   	 10 373,64   	
10/07/23		RGLT FACT TRAVAUX DE RÉPARATIO	 180 000,00   	10%	 44 700,00   	 9 000,00   	 53 700,00   	 126 300,00   	
12/07/23		RGLT RELIQ FACT A2A N° 12276 D	 23 003,50   	10%	 5 699,76   	 1 150,18   	 6 849,93   	 16 153,57   	
12/07/23		RGLT FACT ATELIER EL EMEL POUR	 6 000,00   	10%	 1 486,67   	 300,00   	 1 786,67   	 4 213,33   	
18/07/23		RGLT DEVIS MSE N°020-2023 DU 1	 165 000,00   	10%	 40 608,33   	 8 250,00   	 48 858,33   	 116 141,67   	
14/08/23		RGLT FACTURE ETS TUNIGUI N° FA	 1 048 845,00   	10%	 250 266,07   	 52 442,25   	 302 708,32   	 746 136,68   	
13/09/23		RGLT FACTURE SMCG DU 11/09/202	 45 400,00   	10%	 10 454,61   	 2 270,00   	 12 724,61   	 32 675,39   	
06/10/23		RGLT DEVIS ETS MOULAYE GHADOUR	 42 500,00   	10%	 9 515,28   	 2 125,00   	 11 640,28   	 30 859,72   	
10/10/23		RGLT DEVIS BESIPS N° 05102023-	 5 300,00   	10%	 1 180,72   	 265,00   	 1 445,72   	 3 854,28   	
16/10/23		RGLT 50% S/ MIGRATION GAB NCR	 464 000,00   	10%	 102 595,56   	 23 200,00   	 125 795,56   	 338 204,44   	
16/10/23		RGLT FACT. SMAGEC N° 1080 DU 1	 760 000,00   	10%	 168 044,44   	 38 000,00   	 206 044,44   	 553 955,56   	
26/10/23		RGLT FACT ETS MOULAYE GHADOUR	 19 700,00   	10%	 4 301,17   	 985,00   	 5 286,17   	 14 413,83   	
26/10/23		40% FACT ETS TUNIGUI N°FA/018/	 1 398 460,00   	10%	 305 330,43   	 69 923,00   	 375 253,43   	 1 023 206,57   	
06/11/23		RGLT FACTURE EL HOUSSEIN B37 N	 10 000,00   	10%	 2 152,78   	 500,00   	 2 652,78   	 7 347,22   	
08/11/23		RGLT FACTURE QUINCAILLERIE AZI	 2 950,00   	10%	 633,43   	 147,50   	 780,93   	 2 169,07   	
08/11/23		COUPE CIRCUIT+DISJONCTEUR+CD	 4 550,00   	10%	 976,99   	 227,50   	 1 204,49   	 3 345,51   	
09/11/23		RGLT FACTURE INFOLOG DU 06/11/	 55 000,00   	10%	 11 794,44   	 2 750,00   	 14 544,44   	 40 455,56   	
09/11/23		RGLT FACTURE INFOLOG DU 06/11/	 30 000,00   	10%	 6 433,33   	 1 500,00   	 7 933,33   	 22 066,67   	
09/11/23		RGLT FACTURE INFOLOG DU 06/11/	 5 000,00   	10%	 1 072,22   	 250,00   	 1 322,22   	 3 677,78   	
09/11/23		RGLT FACTURE INFOLOG DU 26/09/	 1 914 000,00   	10%	 410 446,67   	 95 700,00   	 506 146,67   	 1 407 853,33   	
13/11/23		RGLT FACTURE ETS MOULAYE GHADO	 19 800,00   	10%	 4 224,00   	 990,00   	 5 214,00   	 14 586,00   	
15/11/23		RGLT DEVIS NLH CONCEPTS N° 262	 84 550,00   	10%	 17 990,36   	 4 227,50   	 22 217,86   	 62 332,14   	
10/01/23		RGLT 70% FACTURE CONCEPTA N°20	 213 346,00   	10%	 63 707,49   	 10 667,30   	 74 374,79   	 138 971,21   	
17/01/23		RGLT PARTIEL FACT SOLUTECH FOU	 177 525,00   	10%	 52 665,75   	 8 876,25   	 61 542,00   	 115 983,00   	
27/01/23		50% FACT ETS ELVETH SVT DEVIS	 37 715,00   	10%	 11 084,02   	 1 885,75   	 12 969,77   	 24 745,23   	
08/02/23		RGLT RELIQ. FACT. ETS EL VETH	 37 715,00   	10%	 10 958,30   	 1 885,75   	 12 844,05   	 24 870,95   	
20/02/23		RGLT 30% AMENAGEMENT AMANTY ND	 91 434,00   	10%	 26 261,88   	 4 571,70   	 30 833,58   	 60 600,42   	
